Número do cadastro;Número da portaria;Nome do usuário de água;Natureza da intervenção;Tipo da Fonte de Captação;Tipo de Intervenção;Classificação;Status;Observação;Data de início do cadastro;Data de saída do processo;Vazão média;Vazão máxima;Unidade de medida da vazão;Volume normal armazenado (m³);Finalidades de Uso;Bacia Hidrográfica;Corpo Hídrico;Sistema Aquífero;Município;Nome da Geometria;Latitude;Longitude;Latitude (ponto final);Longitude (ponto final)
2019/025.358;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Desativado;-;16/12/2019;16/12/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;-;Pinhal da Serra;Traçado canal adutor;"-51,2537180333901";"-27,8219783147022";"-51,2476700540487";"-27,8126162973158"
2019/025.332;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Desativado;-;16/12/2019;16/12/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio da Glória;-;Pinhal da Serra;Ponto do barramento CGH São Jorge;"-51,2537617065137";"-27,8221323593531";-;-
2019/024.217;-;CGH STASIAK USINA HIDRELETRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;03/12/2019;03/12/2019;-;-;-;100;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Comandaí;-;Sete de Setembro;Ponto 1;"-54,4622222222222";"-28,1269444444444";-;-
2019/023.844;-;ENERBIO SERVICOS DE ENGENHARIA LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando análise;-;28/11/2019;31/01/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;São Marcos;Linha 1;"-51,1215949058533";"-29,0184235231525";"-51,1276888847351";"-29,0058133745128"
2019/023.761;O-000.629/2020;ALS GERAÇÃO DE ENERGIA SPE LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Outorga;Concedida;-;27/11/2019;21/02/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;Estrela;Linha 1;"-51,9057869911194";"-29,5209652068112";"-51,9067740440369";"-29,5215627071136"
2019/023.469;-;ENERBIO SERVICOS DE ENGENHARIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;25/11/2019;28/11/2019;-;-;-;799473;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio São Marcos;-;São Marcos;Ponto 1;"-51,122088432312";"-29,0186486903895";-;-
2019/022.994;O-000.629/2020;ALS GERAÇÃO DE ENERGIA SPE LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Outorga;Concedida;-;20/11/2019;21/02/2020;-;-;-;145515;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Estrela;-;Estrela;Ponto 1;"-51,9057440757751";"-29,5213386449137";-;-
2019/022.370;-;CERFOX – COOPERATIVA DE GERAÇÃO E DESENVOLVIMENTO FONTOURA XAVIER;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Em análise;-;13/11/2019;13/11/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;Arvorezinha;Linha 1;"-52,2401833534241";"-28,9706694808349";"-52,2388529777527";"-28,972359003368"
2019/022.192;-;GUARITA GERADORA DE ENERGIA LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando análise;-;11/11/2019;10/02/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio da Várzea;-;-;Erval Seco;Linha 1;"-53,5802608874359";"-27,5810770714346";"-53,5818762913379";"-27,5895915708989"
2019/022.169;-;GUARITA GERADORA DE ENERGIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;11/11/2019;10/02/2020;-;-;-;"412937,08";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio da Várzea;Rio Guarita;-;Erval Seco;Ponto 1;"-53,5819444444444";"-27,59";-;-
2019/021.605;-;Cooperativa de Geração de Energia e Desenvolvimento Social LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando análise;-;04/11/2019;04/11/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;-;-;Coronel Barros;Linha 1;"-54,0538963447571";"-28,366838385575";"-54,0438694852372";"-28,4082414401054"
2019/021.472;-;Cooperativa de Geração de Energia e Desenvolvimento Social LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;31/10/2019;05/11/2019;-;-;-;"429589,88";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Conceição;-;Coronel Barros;Ponto 1;"-54,0438";"-28,4082";-;-
2019/021.194;-;EUGENIO DE CASTRO GERACAO E COMERCIO DE ENERGIA ELETRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;29/10/2019;17/01/2020;-;-;-;"445963,77";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Ijuizinho;-;Eugênio de Castro;Ponto 1;"-54,1852040655927";"-28,5427428128476";-;-
2019/020.089;-;Vertente Engenharia Ltda;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando alterações de dados inconsistentes;-;15/10/2019;15/10/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;-;Maximiliano de Almeida;Linha 1;"-51,7386875153079";"-27,6282961989313";"-51,7435369492068";"-27,625064289059"
2019/020.046;-;Vertente Engenharia Ltda;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando alterações de dados inconsistentes;-;15/10/2019;15/10/2019;-;-;-;2099000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Forquilha ou Inhandava;-;Maximiliano de Almeida;Ponto 1;"-51,7387559110648";"-27,6282253835692";-;-
2019/019.239;-;PARTIALIS COMERCIO E GERAÇÃO DE ENERGIA S/A;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando alterações de dados inconsistentes;-;03/10/2019;03/10/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio da Várzea;-;-;Erval Seco;Linha 1;"-53,4789776802063";"-27,464337353585";"-53,4906935691833";"-27,4600724564595"
2019/017.271;-;José Guilherme Antloga do Nascimento;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;12/09/2019;12/09/2019;-;-;-;4090000000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Turvo;-;Três Passos;Eixo da barragem;"-53,8421702384949";"-27,4463170394105";-;-
2019/017.138;-;José Guilherme Antloga do Nascimento;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;10/09/2019;12/09/2019;-;-;-;8500000000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Turvo;-;Miraguaí;Eixo da barragem;"-53,8138461112976";"-27,485842106177";-;-
2019/015.923;R-000.676/2020;SPE DALTRO FILHO GERAÇÃO DE ENERGIA LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Reserva de disponibilidade hídrica;Concedida;-;26/08/2019;26/08/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;Imigrante;Linha 2;"-51,7494535446713";"-29,3300580504136";"-51,7511701584408";"-29,3300954645367"
2019/015.005;-;Esmeralda S/A;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Concluído;-;13/08/2019;13/08/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;-;Pinhal da Serra;Adução;"-51,3473296165466";"-27,7887827675864";"-51,3343691825867";"-27,7839989444795"
2019/014.772;R-000.523/2020;Aecogeo Soluções Ambientais Ltda;Água Superficial;Barragem de acumulação;Adução para aproveitamento hidrelétrico;Reserva de disponibilidade hídrica;Concedida;-;09/08/2019;05/12/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;Campestre da Serra;Linha 1;"-51,1294913291931";"-28,8133933754757";"-51,1301779747009";"-28,8146342396594"
2019/014.749;R-000.523/2020;Aecogeo Soluções Ambientais Ltda;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;09/08/2019;08/01/2020;-;-;-;"1681,8";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Pedras Brancas;-;Campestre da Serra;Ponto 1;"-51,1291666666667";"-28,8130555555556";-;-
2019/013.774;-;Esmeralda S/A;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;29/07/2019;13/08/2019;-;-;-;1370000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Bernardo José;-;Pinhal da Serra;Ponto Central do Eixo da Barragem;"-51,3478016853333";"-27,7887827675864";-;-
2019/013.244;-;MERLIN EMPREENDIMENTOS - EIRELI;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Concluído;-;22/07/2019;22/07/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Passo Fundo;-;-;Ponte Preta;Linha 1;"-52,5435090065002";"-27,6878223051037";"-52,5472855567932";"-27,6873282882389"
2019/013.241;-;COOPERATIVA DE DISTRIBUICAO E GERACAO DE ENERGIA DAS MISSOES;Água Superficial;Barragem de acumulação;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando análise;-;22/07/2019;10/09/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;-;-;Entre-Ijuís;Canal Adutor;"-54,3123078346252";"-28,4011403272779";"-54,3133807182312";"-28,3975162638608"
2019/013.238;-;MERLIN EMPREENDIMENTOS - EIRELI;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;22/07/2019;22/07/2019;-;-;-;40000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Passo Fundo;Rio Erexim;-;Ponte Preta;Ponto 1;"-52,5435090065002";"-27,6877463026546";-;-
2019/013.226;-;COOPERATIVA DE DISTRIBUICAO E GERACAO DE ENERGIA DAS MISSOES;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;22/07/2019;22/07/2019;-;-;-;2265;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Ijuizinho;-;Entre-Ijuís;Eixo (ponto central);"-54,3117928504944";"-28,4020085740672";-;-
2019/012.964;-;Aecogeo Soluções Ambientais Ltda;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando verificação de inconsistências das intervenções;-;18/07/2019;19/02/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;São Francisco de Paula;Linha 1;"-50,6274247169495";"-28,9543435179024";"-50,6375527381897";"-28,9482976025678"
2019/012.817;-;TRES FRONTEIRAS GERAÇÃO DE ENERGIA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando alterações de dados inconsistentes;-;17/07/2019;16/10/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Pardo;-;-;Gramado Xavier;Linha 1;"-52,706458568573";"-29,2905086389042";"-52,7104067802429";"-29,3048802221179"
2019/012.609;-;TRES FRONTEIRAS GERAÇÃO DE ENERGIA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando alterações de dados inconsistentes;-;15/07/2019;23/10/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Pardo;-;-;Gramado Xavier;Linha 1;"-52,6815676689148";"-29,2585395877208";"-52,693498134613";"-29,2601869494447"
2019/012.518;-;TRES FRONTEIRAS GERAÇÃO DE ENERGIA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando alterações de dados inconsistentes;-;12/07/2019;23/10/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Pardo;-;-;Barros Cassal;Linha 1;"-52,6701092720032";"-29,2218040194646";"-52,6743149757385";"-29,2330020878127"
2019/012.390;-;Vertente Engenharia Ltda;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Concluído;-;10/07/2019;15/10/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;Campestre da Serra;Linha 1;"-51,0230998993575";"-28,8081038694178";"-51,0203533173262";"-28,8069757409626"
2019/012.303;-;TRES FRONTEIRAS GERAÇÃO DE ENERGIA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando alterações de dados inconsistentes;-;10/07/2019;22/10/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Pardo;-;-;Passa Sete;Adução;"-52,7734065055847";"-29,4426920761446";"-52,776153087616";"-29,448634166692"
2019/012.301;-;TRES FRONTEIRAS GERAÇÃO DE ENERGIA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando alterações de dados inconsistentes;-;10/07/2019;17/10/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Pardo;-;-;Lagoão;Adução;"-52,745726108551";"-29,3674329014294";"-52,7505755424499";"-29,3721452439438"
2019/011.601;-;Aecogeo Soluções Ambientais Ltda;Água Superficial;Barragem de acumulação;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando alterações de dados inconsistentes;-;28/06/2019;14/02/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;Ipê;Linha 2;"-51,1725783348083";"-28,8229062897523";"-51,1703896522522";"-28,8289595100044"
2019/010.925;-;ALOIRI PAULO FRIGO;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;19/06/2019;19/06/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;ARROIO BARRA GRANDE;-;Paraí;Ponto 1;"-51,8272";"-28,6557";-;-
2019/010.916;-;DYANEI ANTONIO MARTINOTTO;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Concluído;-;19/06/2019;19/06/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;Paraí;ADUÇÃO PARA O APROVEITAMENTO HIDRELÉTRICO;"-51,8271102296716";"-28,6555788987463";"-51,8283397827373";"-28,6572190354218"
2019/010.296;-;M. H.N GERACAO ELETRICA LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Em análise;-;10/06/2019;21/01/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;-;Crissiumal;Linha 1;"-54,1644215583801";"-27,4041946931005";"-54,1679406166077";"-27,4043851902207"
2019/009.787;-;Aecogeo Soluções Ambientais Ltda;Água Superficial;Barragem de acumulação;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando verificação de inconsistências das intervenções;-;31/05/2019;19/02/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;Ipê;Linha 1;"-51,182963848114";"-28,8180183395697";"-51,1742520332336";"-28,8183191431291"
